rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
2179	C41H48N4O14	[M + H]+	C41H48N4O14	0.022613065326633167	47.468531217688096	47.468531217688096	0.0	34	0.8680508282278195	-2.0853149292880007	2.4932304837945045	0.02597258751176907		821.32400	704.476	1775_6_Brassimet_Leaves_PAXs_41_Pos_2177
2180	C29H42N3O10P	[M - H]-	C29H42N3O10P	0.022613065326633167	24.689605456494036	24.689605456494036	0.0	10	0.5672992700729926	-1.1021361412575894	2.8840781087999696	2.2422934564482735		622.25490	311.543	1153_6_Brassimet_Leaves_PAXs_3_Neg_566
2181	C13H24N6O14S	[M + Na]+	C13H24N6O14S	0.021105527638190957	44.25676060965402	44.25676060965402	0.0	28	0.8271087629805064	2.5615730254278426	2.5615730254278426	16.679730876496137		543.10540	60.966	883_6_Brassimet_Leaves_PAXs_25_Pos_4877
2182	C36H50N6O16	[M + H]+	C36H50N6O16	0.020603015075376888	68.9788344109209	68.9788344109209	0.0	42	0.7533162671631368	-1.043574266300991	2.168944864709803	3.27207893713889		823.33830	496.362	987_6_Brassimet_Leaves_PAXs_27_Pos_5150
2183	C10H12N2O2S2	[M + H]+	C10H12N2O2S2	0.020603015075376884	26.653789407726173	26.653789407726173	0.0	18	0.7319107186656854	-3.120039486399839	3.883057906382045	3.5166362155619293		257.04220	205.883	1042_6_Brassimet_Leaves_PAXs_28_Pos_5322
2184	C27H32N2O17S4	[M - H]-	C27H32N2O17S4	0.020603015075376884	22.632387130292926	22.632387130292926	0.0	10	0.6940449557899225	0.7010217504249768	2.118373671440546	-2.9437653302354554		783.04880	69.452	2234_6_Brassimet_Leaves_PAXs_5_Neg_109
2185	C39H90N9O4	[M + H]+	C39H90N9O4	0.020100502512562818	50.641092428025416	50.641092428025416	0.0	26	0.9127422480620156	9.108763864893588	9.108763864893588	1.3954383624302436		749.71990	258.095	1786_6_Brassimet_Leaves_PAXs_41_Pos_2217
2186	C32H40O10	[M + Na]+	C32H40O10	0.020100502512562814	64.50911594387247	64.50911594387247	0.0	36	0.8206834532374101	6.480436231764803	6.480436231764803	5.980716353945029		607.25500	1396.65	1243_6_Brassimet_Leaves_PAXs_31_Pos_5946
2187	C14H29N6O8PS2	[M + Na]+	C14H29N6O8PS2	0.018592964824120605	39.63850138254563	39.63850138254563	0.0	29	0.6775244299674267	0.9272823067100499	1.8663929516070326	8.515733452861046		527.11630	115.055	469_6_Brassimet_Leaves_PAXs_17_Pos_4128
2188	C16H21N5O5	[M + Na]+	C16H21N5O5	0.0185929648241206	92.72612059715067	92.72612059715067	0.0	38	0.7644589552238811	-3.1682757790283373	4.759886449720321	2.099028548377978		386.14430	253.199	1212_6_Brassimet_Leaves_PAXs_30_Pos_5827
2189	C15H11N3O15	[M - H]-	C15H11N3O15	0.0185929648241206	8.610805137208335	8.610805137208335	0.0	5	0.7863603031043755	-5.093356841992545	7.149655621592944	1.6097033246374983		472.01250	185.921	614_6_Brassimet_Leaves_PAXs_2_Neg_398
2190	C28H29NO16	[M + H]+	C28H29NO16	0.017587939698492462	23.227252349811017	23.227252349811017	0.0	24	0.7004565605769867	1.3648243835373044	1.6677683719227643	0.2981971083350602		636.15610	519.719	321_6_Brassimet_Leaves_PAXs_14_Pos_3908
2191	C19H42N6O20P2S	[M + H]+	C19H42N6O20P2S	0.016582914572864323	71.31664947351189	71.31664947351189	0.0	37	0.7802466121352705	-0.5896993983800098	2.4194804441639737	-0.3360185895893347		769.17200	178.188	2045_6_Brassimet_Leaves_PAXs_46_Pos_2540
2192	C24H38N10O20	[M - H]-	C24H38N10O20	0.016080402010050253	37.398493923227264	37.398493923227264	0.0	20	0.8076827138937394	-1.0968648724546015	2.3809316223345856	-3.7023738296871476		785.21620	207.626	1_6_Brassimet_Leaves_PAXs_0_Neg_1000
2193	C24H42N2O15S3	[M + H]+	C24H42N2O15S3	0.016080402010050253	36.5396311120228	36.5396311120228	0.0	14	0.9931338891613536	-3.1518713707234736	3.5013962513316566	0.27604836468385996		695.18220	143.024	1506_6_Brassimet_Leaves_PAXs_36_Pos_1593
2194	C32H27N15O5	[M + H]+	C32H27N15O5	0.016080402010050253	35.406107135789185	35.406107135789185	0.0	17	0.9353540772532186	-0.8612234029315387	3.236949279363774	0.09196852028467783		702.23930	335.324	1497_6_Brassimet_Leaves_PAXs_36_Pos_1573
2195	C21H37N3O23S2	[M + H]+	C21H37N3O23S2	0.016080402010050253	29.996158705075718	29.996158705075718	0.0	16	0.8344055277579223	-0.2882691139945138	2.310857905671637	1.9592146638553662		764.13470	77.068	1353_6_Brassimet_Leaves_PAXs_33_Pos_6429
2196	C32H32N6O17	[M - H]-	C32H32N6O17	0.015577889447236183	23.90640503905069	23.90640503905069	0.0	10	0.7645305514157972	-0.26608952284841947	3.7935679296508584	6.072368714199065		771.17980	215.156	1681_6_Brassimet_Leaves_PAXs_4_Neg_691
2197	C33H40O21	[M + H]+	C33H40O21	0.015075376884422113	36.50536256290672	36.50536256290672	0.0	16	0.8575163398692808	-0.2261161332312924	1.1408433619960792	-0.7562627194962355		773.21290	291.54	1400_6_Brassimet_Leaves_PAXs_34_Pos_735
2198	C34H41NO16	[M + Na]+	C34H41NO16	0.015075376884422112	53.72615073157694	53.72615073157694	0.0	29	0.7541707556427872	4.948463435462084	4.948463435462084	-17.319596807074586		742.21890	257.379	319_6_Brassimet_Leaves_PAXs_14_Pos_3906
2199	C24H29N11O17	[M + H]+	C24H29N11O17	0.015075376884422112	49.435012583275004	49.435012583275004	0.0	33	0.7491034482758624	-0.05338141746311318	1.5968168782216692	4.48152053266307		744.18490	307.758	1236_6_Brassimet_Leaves_PAXs_31_Pos_5909
2200	C13H22N3O15P3	[M + H]+	C13H22N3O15P3	0.015075376884422112	44.36865186375071	44.36865186375071	0.0	32	0.8558529849160826	-3.1841786928681457	3.3493229592454874	-1.9012348561141126		554.03260	138.7	2101_6_Brassimet_Leaves_PAXs_48_Pos_2662
2201	C10H15N5O11P2S	[M + H]+	C10H15N5O11P2S	0.015075376884422112	32.470150381133905	32.470150381133905	0.0	22	0.7069042316258349	-1.1409574856272675	2.9922842109402605	13.28330898399322		476.01000	41.538	1416_6_Brassimet_Leaves_PAXs_34_Pos_78
2202	C13H10N8O12	[M - H]-	C13H10N8O12	0.01457286432160804	6.492971153630353	6.492971153630353	0.0	2	0.21761658031088082	-0.032760983696941186	0.032760983696941186	3.109978958075534		469.03600	195.073	1140_6_Brassimet_Leaves_PAXs_3_Neg_516
2203	C20H27N5O14S	[M + H]+	C20H27N5O14S	0.014070351758793972	46.33774113748467	46.33774113748467	0.0	29	0.8452554744525546	-0.24259367009061875	3.7036338631933545	-2.016374920694453		594.13360	264.652	989_6_Brassimet_Leaves_PAXs_27_Pos_5155
2204	C27H41N3O16S2	[M + H]+	C27H41N3O16S2	0.013567839195979904	31.981538290407507	31.981538290407507	0.0	22	0.7907502569373075	-1.3588035350719543	1.4955533526251223	4.256114103152166		728.20320	251.79	1329_6_Brassimet_Leaves_PAXs_33_Pos_6292
2205	C33H35N5O12	[M + H]+	C33H35N5O12	0.013567839195979902	26.826612821411448	26.826612821411448	0.0	10	0.9472355465791467	-0.4246092327868974	3.7804057339840114	-1.86970346694959		694.23420	199.065	1723_6_Brassimet_Leaves_PAXs_40_Pos_2093
2206	C26H35N9O15S2	[M + H]+	C26H35N9O15S2	0.013065326633165831	58.497324045515334	58.497324045515334	0.0	38	0.754132231404959	-0.7487831064901944	2.7350038946213964	0.5398872692072941		778.17710	170.332	933_6_Brassimet_Leaves_PAXs_26_Pos_4992
2207	C20H27N5O12	[M + K]+	C20H27N5O12	0.01306532663316583	79.44904613528355	79.44904613528355	0.0	37	0.7473484848484848	-0.08825316564974421	2.165000346160534	-2.7800184371536782		568.12720	213.396	1101_6_Brassimet_Leaves_PAXs_29_Pos_5510
2208	C32H40N6O10S2	[M - H]-	C32H40N6O10S2	0.011557788944723618	56.06668395612858	56.06668395612858	0.0	38	0.7771618625277158	4.004337075376254	4.458568744001859	3.477711346274927		731.22000	323.777	596_6_Brassimet_Leaves_PAXs_2_Neg_324
2209	C41H48N4O13	[M + H]+	C41H48N4O13	0.010552763819095479	66.04131389353643	66.04131389353643	0.0	42	0.872053715058401	-0.8842255340955283	1.1534385068825985	-0.07953034164625905		805.32900	580.778	2341_6_Brassimet_Leaves_PAXs_51_Pos_3138
2210	C24H31N13O14	[M + H]+	C24H31N13O14	0.010552763819095479	42.81553967939444	42.81553967939444	0.0	14	0.9613765600768042	-0.661912093393268	1.0035888268936053	7.271691153954727		726.22390	208.727	2637_6_Brassimet_Leaves_PAXs_9_Pos_3507
2211	C18H24O4	[M + H]+	C18H24O4	0.010050251256281409	113.44348663233043	113.44348663233043	0.0	33	0.6315372424722663	0.797396576644661	5.603847115302746	0.5383794979301665		305.17490	902.955	2430_6_Brassimet_Leaves_PAXs_53_Pos_3367
2212	C17H22N2O7	[M - H]-	C17H22N2O7	0.010050251256281409	84.41162535923908	84.41162535923908	0.0	28	0.7123538849415535	3.478306614561239	4.853376976295472	2.39748305102679		365.13630	268.92	35_6_Brassimet_Leaves_PAXs_0_Neg_136
2213	C36H27NO13	[M + H]+	C36H27NO13	0.010050251256281409	47.14742469678926	47.14742469678926	0.0	26	0.7368224995343635	-1.862581590509972	2.002441421739144	8.624973370563339		682.16140	407.175	262_6_Brassimet_Leaves_PAXs_13_Pos_3845
2214	C24H28N6O11S2	[M + H]+	C24H28N6O11S2	0.010050251256281407	59.35686196438765	59.35686196438765	0.0	41	0.7463078437807683	-0.7444064974174709	2.444672268275018	6.201220502683455		641.13700	68.216	1305_6_Brassimet_Leaves_PAXs_32_Pos_6204
2215	C36H27NO13	[M + H]+	C36H27NO13	0.009547738693467337	56.32978337021863	56.32978337021863	0.0	35	0.8152052862127851	-1.564092990303991	1.894822942890521	9.35793088035902		682.16190	381.308	286_6_Brassimet_Leaves_PAXs_13_Pos_3872
2216	C25H37N5O24	[M + H]+	C25H37N5O24	0.009547738693467337	49.2483551305664	49.2483551305664	0.0	39	0.8256426632604185	0.31673666244176946	3.0701636906729504	-2.554337903607483		792.18810	199.352	717_6_Brassimet_Leaves_PAXs_21_Pos_1418
2217	C14H17NO5	[M + H]+	C14H17NO5	0.009547738693467337	37.67202836407626	37.67202836407626	0.0	14	0.899798070450976	-2.1992750454289576	2.1992750454289576	1.9666816346311826		280.11850	270.796	774_6_Brassimet_Leaves_PAXs_22_Pos_1432
2218	C29H31NO17	[M + H]+	C29H31NO17	0.009547738693467337	26.58640775265106	26.58640775265106	0.0	25	0.7751307379430563	-1.2952644614313154	1.836153128255705	0.03755203766674774		666.16650	505.402	335_6_Brassimet_Leaves_PAXs_14_Pos_3921
