rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
61	C43H70O6	[M + H3N + H]+	C43H73NO6	0.9999999999999999	91.96859181248526	91.96859181248526	0.0	38	0.7204579928560946	-5.01764878894828	5.180415906178852	9.4703004613246	TG 40:6	700.55770	1474.409	650_1_Brassimet_Roots_Neg-POS_PAXs_20_p472
62	C12H10O4	[M + H]+	C12H10O4	0.9999999999999999	91.53750632693327	91.53750632693327	0.0	22	0.7478418900499774	-2.9993523669429467	4.086081315056099	0.06732200943265336		219.06520	248.474	1035_1_Brassimet_Roots_Neg-POS_PAXs_7_p2730
63	C20H34O2	[M + H]+	C20H34O2	0.9999999999999999	91.47310288997627	91.47310288997627	0.0	16	0.6838592233009706	-1.5180534562078043	3.8808752402048152	-0.18479306664988374		307.26310	1273.917	558_1_Brassimet_Roots_Neg-POS_PAXs_19_p2662
64	C15H18N2O6	[M + Na]+	C15H18N2O6	0.9999999999999999	91.4704110342047	91.4704110342047	0.0	45	0.8997102142024914	-4.379348309292445	4.469972013306664	0.5592599533770115		345.10590	792.965	489_1_Brassimet_Roots_Neg-POS_PAXs_17_p1948
65	C17H19N3O7	[M + H]+	C17H19N3O7	0.9999999999999999	91.32538733332366	91.32538733332366	0.0	33	0.8126044039483675	-1.1848969078724236	2.1294206943630036	-0.7309671334993267		378.12930	229.462	999_1_Brassimet_Roots_Neg-POS_PAXs_6_p2586
66	C22H46O4	[M + H]+	C22H46O4	0.9999999999999999	91.20999260374352	91.20999260374352	0.0	29	0.7311353290108985	-4.365571397308816	5.41809323765006	0.5690623678344		375.34710	1511.183	664_1_Brassimet_Roots_Neg-POS_PAXs_20_p1365
67	C18H41N5O5	[M + H]+	C18H41N5O5	0.9999999999999999	89.94731045173866	89.94731045173866	0.0	26	0.6901928600738615	-7.546644460809707	7.546644460809707	-16.766290247646026		408.31120	1520.934	676_1_Brassimet_Roots_Neg-POS_PAXs_20_p242
68	C9H9NO3	[M + H]+	C9H9NO3	0.9999999999999999	89.87664053573675	89.87664053573675	0.0	22	0.8523744500075863	-4.371844234635759	4.371844234635759	-0.6642036199054139		180.06540	77.994	115_1_Brassimet_Roots_Neg-POS_PAXs_10_p430
69	C21H19N3O3	[M + H]+	C21H19N3O3	0.9999999999999999	89.76129050353089	89.76129050353089	0.0	46	0.9169848584595124	0.03051176131342823	2.5326511402509793	1.3311594007126093		362.15040	870.782	517_1_Brassimet_Roots_Neg-POS_PAXs_18_p4356
70	C11H19N5O3S	[M + H]+	C11H19N5O3S	0.9999999999999999	88.89296968282409	88.89296968282409	0.0	35	0.6396237507348616	2.8566602661443428	5.601234839565527	2.8566602661443428		302.12900	474.943	351_1_Brassimet_Roots_Neg-POS_PAXs_15_p2796
71	C11H12N2O3	[M + H]+	C11H12N2O3	0.9999999999999999	87.17326988847935	87.17326988847935	0.0	25	0.8310766542913298	-3.6099504035738166	5.227300435643518	-0.3107126919757995		221.09200	93.814	283_1_Brassimet_Roots_Neg-POS_PAXs_13_p667
72	C18H16O7	[M + H]+	C18H16O7	0.9999999999999999	86.4441112609052	86.4441112609052	0.0	38	0.8429888862615277	-3.2663684747867467	3.2663684747867467	0.6395182964174052		345.09710	662.196	429_1_Brassimet_Roots_Neg-POS_PAXs_16_p2036
73	C10H8N4O4	[M + H]+	C10H8N4O4	0.9999999999999999	86.33576361903414	86.33576361903414	0.0	20	0.5120448179271708	-2.2419419069992608	6.000839109893047	-3.7387967783499607		249.06090	218.099	969_1_Brassimet_Roots_Neg-POS_PAXs_5_p1359
74	C19H34O4	[M + H]+	C19H34O4	0.9999999999999999	86.32166335033496	86.32166335033496	0.0	22	0.5202657807308974	-2.3434971538036065	5.992098203021526	0.042718965002811006		327.25300	1405.739	577_1_Brassimet_Roots_Neg-POS_PAXs_19_p2752
75	C10H8O2	[M + H]+	C10H8O2	0.9999999999999999	86.26690419744395	86.26690419744395	0.0	14	0.8251665592091126	-3.7389853595292997	5.457554361705457	3.067498422765352		161.06020	192.195	807_1_Brassimet_Roots_Neg-POS_PAXs_23_p2083
76	C11H20N2O5S	[M + H]+	C11H20N2O5S	0.9999999999999999	84.79305431134992	84.79305431134992	0.0	46	0.9102169902486164	-2.712607972312999	3.292788545338786	-0.577218096765218		293.11640	235.039	1007_1_Brassimet_Roots_Neg-POS_PAXs_6_p2509
77	C11H14O4	[M + H]+	C11H14O4	0.9999999999999999	84.5637348249433	84.5637348249433	0.0	27	0.6832723948811698	-2.302609284529937	3.565921753093437	-0.4044601923725101		211.09640	266.189	1085_1_Brassimet_Roots_Neg-POS_PAXs_8_p1320
78	C15H22O2	[M + H]+	C15H22O2	0.9999999999999999	84.54164161701743	84.54164161701743	0.0	15	0.6757925072046109	-4.8970228773613265	6.18914453608646	0.18541497321673642		235.16930	681.454	442_1_Brassimet_Roots_Neg-POS_PAXs_16_p1727
79	C24H40O7S	[M + H]+	C24H40O7S	0.9999999999999999	84.41267924782196	84.41267924782196	0.0	44	0.8589848934959861	-4.517829707981793	4.517829707981793	0.10338553922705788		473.25680	816.5	497_1_Brassimet_Roots_Neg-POS_PAXs_18_p715
80	C15H22N2O3	[M + H]+	C15H22N2O3	0.9999999999999999	83.91600258381675	83.91600258381675	0.0	34	0.7353978831830662	-2.888967041339118	5.9065356143421015	-10.456149573753686		279.16740	253.997	1049_1_Brassimet_Roots_Neg-POS_PAXs_7_p2635
81	C21H21N3O3	[M + H]+	C21H21N3O3	0.9999999999999999	83.8429272571624	83.8429272571624	0.0	40	0.8765315739868049	-2.9253517096624533	3.1230306539927595	-0.18668459958202838		364.16550	870.581	516_1_Brassimet_Roots_Neg-POS_PAXs_18_p1774
82	C12H7NO2	[M + H]+	C12H7NO2	0.9999999999999999	83.26689215283696	83.26689215283696	0.0	20	0.6265517241379313	-5.344872460220223	5.784883453847645	16.384496625043596		198.05820	204.043	937_1_Brassimet_Roots_Neg-POS_PAXs_5_p1638
83	C20H20O7	[M + H]+	C20H20O7	0.9999999999999999	83.24065326611934	83.24065326611934	0.0	38	0.8746034707967903	-4.2543641693706125	4.2543641693706125	0.05512290272715075		373.12820	416.769	295_1_Brassimet_Roots_Neg-POS_PAXs_13_p1452
84	C23H31NO12S2	[M + H]+	C23H31NO12S2	0.9999999999999999	83.23672367639935	83.23672367639935	0.0	45	0.9043037649926242	-0.9100145088875965	2.2457860021047207	0.27003309836436024		578.13620	406.798	273_1_Brassimet_Roots_Neg-POS_PAXs_13_p1027
85	C12H20N4O2	[M + H]+	C12H20N4O2	0.9999999999999999	83.22970788294793	83.22970788294793	0.0	30	0.658402203856749	-3.486843922870913	6.53644428188991	-4.354207577479281		253.16480	226.855	993_1_Brassimet_Roots_Neg-POS_PAXs_6_p549
